Item #,Seller Category,Item Description,Qty,Unit Retail,Ext. Retail,Brand,UPC,TCIN,Origin,Category,Condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID
LPTG4070920,BICYCLES-PHYSICAL FITNESS,"Mongoose Limestone 26"" Men's Mountain Bike - Blue",7,202.99,1420.93,Mongoose,038675275959,86817295,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ35950,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4070927,BICYCLES-PHYSICAL FITNESS,"Mongoose Limestone 26"" Men's Mountain Bike - Blue",7,202.99,1420.93,Mongoose,038675275959,86817295,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ35946,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4908926,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 26"" Adult Mountain Bike - Red",4,230.99,923.96,Schwinn,038675283572,89538615,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBI49838,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4908954,BICYCLES-PHYSICAL FITNESS,"Schwinn Regent 27.5"" Adult Hybrid Bike - Dark Red",1,804.99,804.99,Schwinn,038675290853,92680621,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTAZ71378,ELECTRIC BIKES,urc_bicycles_physical_fitness_20260327_202_p
LPTG3958757,BICYCLES-PHYSICAL FITNESS,"Schwinn Regent 27.5"" Adult Hybrid Bike - Dark Red",1,804.99,804.99,Schwinn,038675290853,92680621,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBJ15700,ELECTRIC BIKES,urc_bicycles_physical_fitness_20260327_202_p
LPTG3983504,BICYCLES-PHYSICAL FITNESS,"Kent Winslow 700c/28"" Adult Hybrid Bike - Green",3,230.99,692.97,Kent,016751227405,89514027,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBJ15692,HYBRID,urc_bicycles_physical_fitness_20260327_202_p
LPTG4793349,BICYCLES-PHYSICAL FITNESS,"Schwinn Regent 27.5"" Adult Hybrid Bike - Dark Red",1,804.99,804.99,Schwinn,038675290853,92680621,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBI49833,ELECTRIC BIKES,urc_bicycles_physical_fitness_20260327_202_p
LPTG3983278,BICYCLES-PHYSICAL FITNESS,"Schwinn Regent 27.5"" Adult Hybrid Bike - Dark Red",1,804.99,804.99,Schwinn,038675290853,92680621,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ02598,ELECTRIC BIKES,urc_bicycles_physical_fitness_20260327_202_p
LPTG3766074,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 26"" Adult Mountain Bike - Red",3,230.99,692.97,Schwinn,038675283572,89538615,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ35949,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4906681,BICYCLES-PHYSICAL FITNESS,"Schwinn Regent 27.5"" Adult Hybrid Bike - Dark Red",1,804.99,804.99,Schwinn,038675290853,92680621,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ10609,ELECTRIC BIKES,urc_bicycles_physical_fitness_20260327_202_p
